🇨🇳•韩国▪电影,#genre#
HEYZO720P01, https://videomy.yongaomy.com/20191223/80S2HH9G/index.m3u8
HEYZO720P50, https://video1.rhsj520.com/nyrm3/wuma/heyzo_hd_1942_full/1500kb/hls/index.m3u8



🇨🇳•麻豆▪一区,#genre#
补新01, https://u89ey.cdnedge.live/file/avple-images/hls/616f1059d8538c2d9f2164a0/playlist.m3u8
补新02, https://47b61.cdnedge.live/file/avple-images/hls/616f0fe1d8538c2d9f21649f/playlist.m3u8
补新03, https://e2fa6.cdnedge.live/file/avple-images/hls/616f0fa5d8538c2d9f21649e/playlist.m3u8
补新04, https://1xp60.cdnedge.live/file/avple-images/hls/616d88f2a1a4d6090d670cf2/playlist.m3u8
补新05, https://47b61.cdnedge.live/file/avple-images/hls/616d88b5a1a4d6090d670cf1/playlist.m3u8
补新06, https://je40u.cdnedge.live/file/avple-images/hls/616d883da1a4d6090d670cf0/playlist.m3u8
补新07, https://w9n76.cdnedge.live/file/avple-images/hls/616d87c6a1a4d6090d670cef/playlist.m3u8
补最新1, https://8bb88.cdnedge.live/file/avple-images/hls/616b08ddcd55b923abce18c7/playlist.m3u8
补最新2, https://je40u.cdnedge.live/file/avple-images/hls/616b0865cd55b923abce18c6/playlist.m3u8
补最新3, https://u89ey.cdnedge.live/file/avple-images/hls/616b0829cd55b923abce18c5/playlist.m3u8
补最新4, https://zo392.cdnedge.live/file/avple-images/hls/616aff06cd55b923abce18c4/playlist.m3u8
补最新5, https://zo392.cdnedge.live/file/avple-images/hls/616afec9cd55b923abce18c3/playlist.m3u8
补最新6, https://w9n76.cdnedge.live/file/avple-images/hls/616afebcdd99ba23b1d9f97f/playlist.m3u8
补最新7, https://8bb88.cdnedge.live/file/avple-images/hls/616afe52cd55b923abce18c2/playlist.m3u8
补最新8, https://w9n76.cdnedge.live/file/avple-images/hls/616a06d13bbafc7181324c82/playlist.m3u8
补最新9, https://w9n76.cdnedge.live/file/avple-images/hls/616a061d3bbafc7181324c81/playlist.m3u8
补最新10, https://1xp60.cdnedge.live/file/avple-images/hls/616a05e13bbafc7181324c80/playlist.m3u8
补最新11, https://1xp60.cdnedge.live/file/avple-images/hls/616a05693bbafc7181324c7f/playlist.m3u8
补最新12, https://10j99.cdnedge.live/file/avple-images/hls/6168888e82e0243986ca6ac5/playlist.m3u8
补最新14, https://u89ey.cdnedge.live/file/avple-images/hls/6168872582e0243986ca6ac2/playlist.m3u8
补最新15, https://8bb88.cdnedge.live/file/avple-images/hls/6168879d82e0243986ca6ac3/playlist.m3u8
补最新麻豆01, https://u89ey.cdnedge.live/file/avple-images/hls/616717a551121708a790a1ba/playlist.m3u8
补最新麻豆03, https://je40u.cdnedge.live/file/avple-images/hls/616716b551121708a790a1b8/playlist.m3u8
补最新麻豆05, https://zo392.cdnedge.live/file/avple-images/hls/6167158951121708a790a1b5/playlist.m3u8
补最新麻豆07, https://je40u.cdnedge.live/file/avple-images/hls/6165a771687fa15ce79fee7b/playlist.m3u8
补最新麻豆08, https://1xp60.cdnedge.live/file/avple-images/hls/6165a6f9687fa15ce79fee7a/playlist.m3u8
补最新麻豆09, https://je40u.cdnedge.live/file/avple-images/hls/61653e357c6c230632362c4e/playlist.m3u8
